date,t_max,t_min,t_mean
2021-02-15,1.0,-4.3,-1.6111111111111112
2021-02-16,1.4,-9.9,-2.673611111111111
2021-02-17,9.5,-1.7,1.1126760563380282
2021-02-18,-1.7,-12.6,-5.995804195804196
2021-02-19,1.6,-12.9,-4.474074074074074
2021-02-20,3.3,-0.8,1.240559440559441
2021-02-21,6.3,-0.3,3.329069767441861
2021-02-22,7.5,-1.0,2.056338028169014
2021-02-23,7.0,-2.5,2.232167832167832
2021-02-24,13.1,1.5,5.655555555555555
2021-02-25,13.2,0.9,5.899305555555555
2021-02-26,13.6,2.4,6.5
2021-02-27,8.8,1.0,5.035915492957747
2021-02-28,4.7,-0.4,2.562237762237762
2021-03-01,3.9,2.7,3.332173913043478
2021-03-02,10.7,1.0,5.094444444444445
2021-03-03,7.8,-0.8,2.2713286713286718
2021-03-04,8.8,1.3,4.390140845070422
2021-03-05,4.0,-2.3,0.9486111111111112
2021-03-06,4.6,-3.3,-0.0006944444444444
2021-03-07,3.4,-0.1,2.257638888888889
2021-03-08,2.7,-3.2,-0.1375
2021-03-09,2.5,-5.3,-1.8833333333333333
2021-03-10,3.5,-7.0,-1.9363636363636365
2021-03-11,3.3,-5.1,-0.3625
2021-03-12,9.0,0.9,4.595833333333333
2021-03-13,10.9,0.0,5.422222222222222
2021-03-14,11.6,2.9,6.419444444444444
2021-03-15,8.6,-0.9,3.513888888888889
2021-03-16,10.3,-2.6,3.5652777777777778
2021-03-17,3.7,-0.1,2.111805555555556
2021-03-18,3.2,-2.7,0.3694444444444444
2021-03-19,4.1,-1.5,0.5205882352941176
2021-03-20,1.4,-4.5,-1.8274647887323945
2021-03-21,1.9,-4.6,-0.795138888888889
2021-03-22,5.6,-2.5,1.265972222222222
2021-03-23,8.4,0.8,4.448550724637681
2021-03-24,7.4,1.0,4.725384615384615
2021-03-25,9.6,0.7,5.0569444444444445
2021-03-26,13.8,-1.8,5.760416666666667
2021-03-27,18.2,4.0,9.727777777777778
2021-03-28,10.8,1.3,6.159420289855072
2021-03-29,12.1,0.3,7.134027777777778
2021-03-30,14.7,8.2,10.927777777777775
2021-03-31,21.1,8.2,13.86875
2021-04-01,22.0,5.6,13.288888888888888
2021-04-02,12.3,2.4,6.959722222222222
2021-04-03,8.5,0.9,3.9166666666666665
2021-04-04,8.6,-1.0,3.2034722222222225
2021-04-05,14.4,-0.1,6.242361111111111
2021-04-06,4.9,-0.3,2.230555555555556
2021-04-07,7.9,-2.1,1.5398601398601397
2021-04-08,8.1,-0.9,2.7243055555555555
2021-04-09,12.3,-1.0,5.808333333333334
2021-04-10,20.2,4.0,11.53263888888889
2021-04-11,20.5,7.0,13.37152777777778
2021-04-12,19.8,8.6,13.9
2021-04-13,8.5,2.5,4.443055555555556
2021-04-14,3.4,1.0,1.7048611111111112
2021-04-15,6.3,1.2,3.94055944055944
2021-04-16,6.0,4.6,5.281944444444445
2021-04-17,9.4,4.5,6.859027777777778
2021-04-18,14.4,6.4,9.553472222222222
2021-04-19,17.6,6.3,11.2875
2021-04-20,16.7,2.6,9.236805555555556
2021-04-21,17.9,5.7,10.605555555555556
2021-04-22,12.5,2.1,7.5881944444444445
2021-04-23,12.1,1.6,5.487500000000001
2021-04-24,12.2,0.7,6.300000000000001
2021-04-25,10.6,1.4,6.077083333333333
2021-04-26,10.1,-1.7,3.543055555555556
2021-04-27,11.8,-2.7,4.472222222222222
2021-04-28,16.3,-1.9,7.86388888888889
2021-04-29,20.6,2.0,11.7375
2021-04-30,19.9,6.4,13.784027777777778
2021-05-01,14.2,3.6,9.639583333333333
2021-05-02,15.7,4.8,10.520833333333334
2021-05-03,12.0,4.7,7.313888888888889
2021-05-04,18.1,2.2,11.116783216783215
2021-05-05,19.3,8.0,13.240972222222222
2021-05-06,15.1,4.9,9.44375
2021-05-07,13.7,7.0,9.474305555555556
2021-05-08,13.1,2.9,7.620138888888889
2021-05-09,21.2,0.7,11.872222222222222
2021-05-10,26.0,9.2,17.65347222222222
2021-05-11,27.0,10.7,19.48680555555556
2021-05-12,26.9,10.3,19.01736111111111
2021-05-13,23.0,8.8,16.178472222222222
2021-05-14,20.2,11.9,15.728472222222225
2021-05-15,22.4,9.2,15.510416666666666
2021-05-16,22.0,11.9,15.04513888888889
2021-05-17,22.9,9.7,15.23263888888889
2021-05-18,18.1,10.8,13.763194444444444
2021-05-19,17.1,8.4,12.648611111111112
2021-05-20,19.1,7.1,12.720833333333331
2021-05-21,21.0,7.1,14.390277777777776
2021-05-22,18.1,9.4,13.526388888888889
2021-05-23,20.9,8.5,14.147916666666667
2021-05-24,21.1,7.7,15.125694444444443
2021-05-25,18.9,10.8,14.5
2021-05-26,20.9,8.2,14.22013888888889
2021-05-27,21.6,11.8,15.91875
2021-05-28,21.2,11.0,15.422222222222224
2021-05-29,18.1,9.1,13.152083333333334
2021-05-30,18.7,9.0,13.29375
2021-05-31,19.8,6.7,13.259027777777778
2021-06-01,23.0,5.1,13.531944444444443
2021-06-02,22.6,9.5,15.25625
2021-06-03,25.0,8.1,16.775694444444444
2021-06-04,27.2,7.8,17.862499999999997
2021-06-05,23.4,12.3,16.913888888888888
2021-06-06,26.9,9.7,18.31805555555556
2021-06-07,27.6,11.2,19.35
2021-06-08,29.6,11.3,20.722916666666663
2021-06-09,27.6,15.8,21.413194444444443
2021-06-10,26.4,13.7,19.498611111111117
2021-06-11,25.9,11.4,18.510416666666668
2021-06-12,26.9,10.8,18.405555555555555
2021-06-13,19.0,11.9,14.416666666666666
2021-06-14,23.9,10.8,16.74375
2021-06-15,26.5,8.7,18.525694444444444
2021-06-16,27.5,12.9,20.29583333333333
2021-06-17,28.7,11.9,20.395104895104897
2021-06-18,31.1,12.2,22.438194444444445
2021-06-19,32.0,13.7,23.373611111111117
2021-06-20,31.4,15.7,23.86388888888889
2021-06-21,31.3,17.4,24.51944444444445
2021-06-22,34.3,18.2,24.88958333333333
2021-06-23,31.7,19.6,24.93472222222222
2021-06-24,32.5,18.4,23.54074074074074
2021-06-25,25.6,17.7,21.344755244755245
2021-06-26,26.2,16.4,20.35874125874126
2021-06-27,25.0,15.4,19.69142857142857
2021-06-28,28.6,12.2,20.635416666666668
2021-06-29,30.4,13.1,22.382638888888888
2021-06-30,30.2,18.4,23.441666666666663
2021-07-01,24.7,18.0,20.915277777777774
2021-07-02,25.0,17.6,20.495833333333334
2021-07-03,23.3,16.6,18.67013888888889
2021-07-04,26.1,16.0,18.977083333333333
2021-07-05,27.6,15.7,21.481944444444444
2021-07-06,30.3,16.2,23.459722222222226
2021-07-07,32.2,16.2,24.68472222222222
2021-07-08,32.5,19.0,26.042957746478876
2021-07-09,33.2,20.1,25.846774193548388
2021-07-10,26.1,15.7,21.444444444444443
2021-07-11,29.1,13.0,21.48041958041958
2021-07-12,32.3,16.9,23.468571428571423
2021-07-13,31.2,17.3,23.08888888888889
2021-07-14,33.8,19.5,26.523611111111112
2021-07-15,30.3,20.5,25.08888888888889
2021-07-16,30.5,19.0,24.34097222222222
2021-07-17,31.0,19.7,25.04513888888889
2021-07-18,29.9,19.0,23.898507462686567
2021-07-19,27.1,16.4,21.85763888888889
2021-07-20,25.1,13.7,19.7468085106383
2021-07-21,25.7,14.5,19.504895104895105
2021-07-22,26.8,15.1,20.28472222222222
2021-07-23,26.8,16.4,20.84652777777778
2021-07-24,28.8,15.0,21.90902777777778
2021-07-25,31.6,17.5,23.55902777777778
2021-07-26,28.9,18.6,21.999305555555555
2021-07-27,29.3,18.6,23.410416666666663
2021-07-28,31.8,16.9,24.400694444444444
2021-07-29,28.9,19.1,23.188888888888886
2021-07-30,29.5,14.6,22.12708333333333
2021-07-31,29.1,13.6,21.615714285714283
2021-08-01,27.6,17.6,21.467361111111117
2021-08-02,23.8,15.7,18.99375
2021-08-03,25.2,13.0,18.327777777777776
2021-08-04,21.7,13.3,17.3503937007874
2021-08-05,18.3,12.1,15.49652777777778
2021-08-06,16.8,14.2,15.68263888888889
2021-08-07,26.1,12.8,19.159848484848485
2021-08-08,25.2,15.7,21.09642857142857
2021-08-09,27.4,15.2,20.45138888888889
2021-08-10,27.7,13.4,18.90967741935484
2021-08-11,25.4,14.4,18.349295774647885
2021-08-12,25.1,11.6,17.955555555555556
2021-08-13,27.0,11.5,19.250694444444445
2021-08-14,30.6,16.3,22.64375
2021-08-15,31.2,15.8,22.410416666666663
2021-08-16,28.8,16.3,21.459722222222226
2021-08-17,19.8,13.4,17.34722222222222
2021-08-18,21.5,11.5,15.967361111111112
2021-08-19,23.3,12.7,17.549305555555556
2021-08-20,25.9,12.3,18.734722222222224
2021-08-21,23.2,12.8,17.368055555555557
2021-08-22,24.8,9.9,17.514583333333334
2021-08-23,17.2,14.8,16.068571428571428
2021-08-24,15.1,11.4,13.313253012048191
2021-08-25,18.5,8.6,13.127737226277372
2021-08-26,9.9,9.8,9.85
2021-08-27,20.4,9.8,14.242553191489362
2021-08-28,20.2,11.0,15.05902777777778
2021-08-29,18.4,9.7,14.06388888888889
2021-08-30,16.0,11.6,13.600714285714284
2021-08-31,18.3,13.1,15.082638888888887
2021-09-01,19.8,12.1,15.214583333333334
2021-09-02,19.7,9.3,13.597916666666666
2021-09-03,22.4,6.4,13.174358974358976
2021-09-04,19.1,7.5,13.660317460317462
2021-09-05,18.4,4.9,9.832323232323231
2021-09-06,18.7,3.0,10.576428571428572
2021-09-07,21.5,6.4,12.930882352941175
2021-09-08,24.4,7.0,15.338194444444444
2021-09-09,25.0,10.2,16.711111111111112
2021-09-10,26.0,9.1,16.364539007092198
2021-09-11,26.9,9.5,17.705882352941178
2021-09-12,28.2,14.6,20.279861111111117
2021-09-13,25.0,15.7,19.62152777777778
2021-09-14,23.4,13.9,17.62777777777778
2021-09-15,24.9,12.6,17.81736111111111
2021-09-16,23.3,14.0,18.626388888888886
2021-09-17,19.7,16.4,17.793750000000003
2021-09-18,16.6,9.6,14.045833333333333
2021-09-19,11.0,9.2,10.01736111111111
2021-09-20,11.4,9.1,9.938194444444443
2021-09-21,15.4,7.9,10.736805555555556
2021-09-22,15.4,9.5,11.456944444444444
2021-09-23,17.3,9.5,13.315277777777778
2021-09-24,16.7,11.6,13.818181818181818
2021-09-25,20.1,10.4,15.986330935251798
2021-09-26,20.8,10.6,16.40347222222222
2021-09-27,19.4,8.0,12.816783216783216
2021-09-28,17.2,6.6,11.057638888888889
2021-09-29,16.9,6.5,11.645833333333334
2021-09-30,15.1,10.6,11.923943661971832
2021-10-01,12.4,7.6,10.149397590361446
2021-10-02,19.4,8.9,13.73263888888889
2021-10-03,19.4,9.2,13.639583333333333
2021-10-04,21.0,11.3,15.023611111111112
2021-10-05,20.6,10.6,14.841666666666663
2021-10-06,18.0,12.1,14.182638888888889
2021-10-07,15.7,5.7,11.492361111111112
2021-10-08,13.8,2.0,7.160416666666666
2021-10-09,14.1,1.7,6.388811188811189
2021-10-10,13.8,0.8,5.879166666666666
2021-10-11,14.7,0.7,6.518055555555556
2021-10-12,13.2,4.9,8.754861111111111
2021-10-13,13.1,6.0,8.832638888888889
2021-10-14,13.3,4.3,8.663888888888888
2021-10-15,16.2,9.4,12.24225352112676
2021-10-16,12.8,8.6,10.649624060150376
2021-10-17,12.2,7.3,9.827272727272726
2021-10-18,14.2,8.6,10.647916666666667
2021-10-19,17.1,10.2,12.397916666666667
2021-10-20,19.7,10.4,13.87244094488189
2021-10-21,17.7,11.6,13.990833333333336
2021-10-22,12.6,8.5,10.531205673758866
2021-10-23,9.7,5.7,7.78125
2021-10-24,8.8,0.7,5.174305555555556
2021-10-25,12.3,0.2,5.820833333333334
2021-10-26,13.6,2.6,7.9854166666666675
2021-10-27,16.0,6.8,11.102083333333333
2021-10-28,16.0,5.1,10.427272727272728
2021-10-29,16.0,2.9,8.8625
2021-10-30,17.4,6.5,10.10744680851064
2021-10-31,17.8,8.6,13.878
2021-11-01,15.3,5.9,10.74375
2021-11-02,13.2,3.1,7.652083333333334
2021-11-03,9.6,8.1,8.701818181818183
2021-11-04,,,
2021-11-05,,,
2021-11-06,12.3,6.0,9.974074074074071
2021-11-07,11.1,3.5,7.723703703703704
2021-11-08,9.9,7.8,8.834027777777777
2021-11-09,8.4,5.7,6.341176470588235
2021-11-10,,,
2021-11-11,,,
2021-11-12,,,
2021-11-13,,,
2021-11-14,6.0,4.4,5.370588235294117
2021-11-15,7.7,4.0,5.933076923076923
2021-11-16,,,
2021-11-17,7.4,4.5,5.266071428571428
2021-11-18,9.1,6.1,8.129927007299269
2021-11-19,11.2,9.2,11.016666666666666
2021-11-20,11.8,10.3,11.206862745098038
2021-11-21,11.5,8.1,9.908870967741937
2021-11-22,8.1,2.1,5.683529411764706
2021-11-23,5.1,2.0,4.211764705882352
2021-11-24,8.5,4.8,6.720979020979021
2021-11-25,6.7,2.0,4.36068376068376
2021-11-26,6.7,4.1,5.194444444444445
2021-11-27,5.8,1.2,3.879166666666667
2021-11-28,5.5,2.3,3.999305555555555
2021-11-29,5.9,2.3,4.092307692307692
2021-11-30,4.8,2.2,3.463380281690141
2021-12-01,6.4,1.4,3.443356643356643
2021-12-02,8.7,2.1,6.473611111111111
2021-12-03,5.8,1.1,2.810416666666667
2021-12-04,4.1,-0.9,1.612857142857143
2021-12-05,3.6,-1.3,1.0729166666666667
2021-12-06,2.6,-0.4,1.1076388888888888
2021-12-07,-0.1,-4.0,-1.625925925925926
2021-12-08,-0.2,-4.1,-2.0951388888888887
2021-12-09,2.7,-1.7,0.6451388888888889
2021-12-10,4.7,2.4,3.4055555555555554
2021-12-11,4.0,1.9,2.806993006993007
2021-12-12,2.5,-1.2,-0.0729166666666666
2021-12-13,-0.4,-1.6,-1.104861111111111
2021-12-14,3.3,-1.9,-0.0305555555555555
2021-12-15,6.8,1.7,4.392361111111111
2021-12-16,8.2,5.4,7.0881118881118885
2021-12-17,5.4,3.6,4.161111111111111
2021-12-18,4.9,3.3,3.880555555555555
2021-12-19,6.2,2.0,4.707692307692308
2021-12-20,2.5,-4.0,0.2284722222222222
2021-12-21,-1.1,-5.2,-2.825
2021-12-22,-0.1,-3.2,-1.5146853146853148
2021-12-23,0.8,-4.3,-1.4972222222222222
2021-12-24,4.5,-0.3,2.6333333333333333
2021-12-25,1.9,-6.7,-3.261111111111111
2021-12-26,-2.2,-10.9,-6.827272727272727
2021-12-27,-1.7,-12.3,-6.922377622377622
2021-12-28,2.0,-4.7,-0.9555555555555556
2021-12-29,3.6,0.1,1.6902777777777778
2021-12-30,6.6,2.4,4.747222222222223
2021-12-31,11.4,6.5,10.25
